MONUMENT_ID,Name,Item Category,URI,Citation_URI,Thumbnail,Longitude,Latitude,City _ID,Excavation_ID
175,Fakahani Mosque,Image media,http://opencontext.org/media/f396aacc-9385-4bb3-8c60-f16f2bc721b1,https://n2t.net/ark:/28722/k2vt22b73,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.147.jpg,31.25909,30.04432,2,2
176,Sabil-kuttab of Abu al-Iqbal ‘Arifin Bey,Image media,http://opencontext.org/media/67b4ef21-c487-4206-bf86-0b3d996ef5c9,https://n2t.net/ark:/28722/k2f482g3m,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.043.jpg,31.26229,30.04394,2,2
177,Fakahani Mosque,Image media,http://opencontext.org/media/240c781c-d1b8-4159-a7f4-56135ec6d59f,https://n2t.net/ark:/28722/k2br96400,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.143.jpg,31.25909,30.04432,2,2
178,Fakahani Mosque,Image media,http://opencontext.org/media/bf07127a-5f79-451d-a4bb-f5b89f083a9e,https://n2t.net/ark:/28722/k24j0wk2q,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.002.jpg,31.25909,30.04432,2,2
179,,Structure,http://opencontext.org/subjects/71fe2d88-2070-4037-a5e0-7da4d4f38c02,https://n2t.net/ark:/28722/k21g13g71,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.164.jpg,31.25909,30.04432,2,2
180,Fakahani Mosque,Image media,http://opencontext.org/media/a7c099d0-ffa4-44f6-8c7e-0c05c9fa3a07,https://n2t.net/ark:/28722/k2jh3zq3b,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.160.jpg,31.25909,30.04432,2,2
181,,Structure,http://opencontext.org/subjects/b5719db3-c843-466c-a9e0-4a584b7c7482,https://n2t.net/ark:/28722/k22b9f06c,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.155.jpg,31.2565,30.04307,2,2
182,Fakahani Mosque,Image media,http://opencontext.org/media/5217e04a-21d9-45be-a351-5f3dd873bad2,https://n2t.net/ark:/28722/k20g42k88,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.148.jpg,31.25909,30.04432,2,2
183,Mausoleum of Ibrahim al-Kulshani,Image media,http://opencontext.org/media/20d84f93-3233-45be-9e44-a1557abc4a2a,https://n2t.net/ark:/28722/k2dz0np76,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.012.jpg,31.2565,30.04307,2,2
184,,Structure,http://opencontext.org/subjects/91888aea-d626-4f8b-a00b-6f9f77df349a,https://n2t.net/ark:/28722/k23b6fw66,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.134.jpg,31.26184,30.04599,2,2
185,,Structure,http://opencontext.org/subjects/c2c95aba-06ff-4024-acd5-98e879da239b,https://n2t.net/ark:/28722/k2dv1z95c,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.072.jpg,31.25965,30.04074,2,2
186,,Structure,http://opencontext.org/subjects/1e4fa022-63a8-4ed6-b683-5005cbdb62c3,https://n2t.net/ark:/28722/k2mc9b41t,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.043.jpg,31.26229,30.04394,2,2
187,,Structure,http://opencontext.org/subjects/75ff1c68-dd0a-4280-ad75-13e105ff5707,https://n2t.net/ark:/28722/k2cv4xd35,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.061.jpg,31.26177,30.04443,2,2
188,,Structure,http://opencontext.org/subjects/77b5fa89-a0e7-40af-b02e-99adcf1c1efd,https://n2t.net/ark:/28722/k2ws93788,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.097.jpg,31.2603,30.04772,2,2
189,,Structure,http://opencontext.org/subjects/69aecb06-d829-4606-a781-99322f4af8c2,https://n2t.net/ark:/28722/k2r78r99c,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.060.jpg,31.25765,30.04257,2,2
190,,Structure,http://opencontext.org/subjects/93b968de-f53e-4fcf-aa3b-faa2bca43d9e,https://n2t.net/ark:/28722/k2q53116r,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.130.jpg,31.26129,30.04465,2,2
191,,Structure,http://opencontext.org/subjects/027252f6-c444-4095-8e4e-8a7b97651e5a,https://n2t.net/ark:/28722/k25433w9x,https://artiraq.org/static/opencontext/ottoman-tiles-fakahani-mosque/thumbs/Fig.146.jpg,31.25909,30.04432,2,2
